time,Bx,By,Bz,BT
13.103,-0.48,-7.80,14.16,16.17
13.120,-0.48,-7.86,14.16,16.20
13.142,-0.48,-7.98,14.16,16.26
13.163,-0.48,-8.04,14.10,16.24
13.180,-0.48,-8.16,14.04,16.25
13.201,-0.48,-8.22,13.98,16.22
13.225,-0.48,-8.34,13.92,16.23
13.245,-0.48,-8.40,13.86,16.21
13.265,-0.48,-8.40,13.80,16.16
13.285,-0.48,-8.40,13.74,16.11
13.306,-0.48,-8.40,13.74,16.11
13.327,-0.48,-8.40,13.80,16.16
13.352,-0.48,-8.40,13.86,16.21
13.368,-0.48,-8.40,13.92,16.27
13.388,-0.48,-8.40,13.98,16.32
13.423,-0.48,-8.34,14.04,16.34
