time,Bx,By,Bz,BT
10.693,-16.26,-7.92,-1.98,18.19
10.713,-16.26,-7.92,-1.92,18.19
10.733,-16.26,-7.98,-1.86,18.21
10.754,-16.20,-7.98,-1.86,18.15
10.780,-16.20,-7.98,-1.86,18.15
10.795,-16.14,-7.86,-1.86,18.05
10.815,-16.14,-7.68,-1.86,17.97
10.835,-16.08,-7.50,-1.92,17.85
10.857,-16.02,-7.38,-1.92,17.74
10.872,-15.96,-7.20,-1.92,17.61
10.891,-15.84,-7.02,-1.92,17.43
10.912,-15.66,-6.90,-1.92,17.22
10.934,-15.42,-6.78,-1.92,16.95
10.952,-15.18,-6.78,-1.92,16.74
10.980,-15.00,-6.78,-1.86,16.57
11.003,-14.76,-6.84,-1.86,16.37
11.016,-14.58,-6.84,-1.80,16.20
11.038,-14.34,-6.84,-1.74,15.98
11.064,-14.16,-6.84,-1.62,15.81
11.076,-14.04,-6.84,-1.50,15.69
11.096,-14.04,-6.84,-1.38,15.68
11.119,-13.98,-6.84,-1.26,15.61
11.140,-13.92,-6.84,-1.14,15.55
11.160,-13.92,-6.84,-1.02,15.54
11.180,-13.92,-6.84,-0.96,15.54
11.203,-13.92,-6.84,-0.90,15.54
11.221,-13.92,-6.84,-0.90,15.54
11.243,-13.98,-6.84,-0.90,15.59
11.264,-13.98,-6.84,-0.90,15.59
11.281,-14.04,-6.84,-0.90,15.64
11.304,-14.10,-6.84,-0.90,15.70
11.323,-14.16,-6.84,-0.90,15.75
11.343,-14.22,-6.84,-0.90,15.81
11.363,-14.28,-6.90,-0.84,15.88
11.383,-14.34,-6.90,-0.78,15.93
11.404,-14.34,-6.96,-0.72,15.96
11.424,-14.40,-6.96,-0.66,16.01
11.444,-14.34,-6.96,-0.60,15.95
11.465,-14.34,-7.02,-0.54,15.98
11.493,-14.28,-7.02,-0.48,15.92
11.506,-14.28,-7.02,-0.42,15.92
11.523,-14.22,-7.02,-0.48,15.87
11.544,-14.22,-7.02,-0.48,15.87
11.565,-14.22,-7.02,-0.60,15.87
11.584,-14.16,-7.02,-0.72,15.82
11.607,-14.16,-7.02,-0.78,15.82
11.625,-14.16,-7.02,-0.90,15.83
11.644,-14.16,-6.96,-1.02,15.81
11.665,-14.16,-6.96,-1.08,15.81
11.687,-14.16,-6.96,-1.14,15.82
11.706,-14.16,-6.90,-1.20,15.80
11.726,-14.16,-6.90,-1.20,15.80
11.762,-14.16,-6.84,-1.20,15.77
11.766,-14.16,-6.84,-1.20,15.77
11.786,-14.16,-6.84,-1.20,15.77
11.807,-14.22,-6.84,-1.20,15.83
11.827,-14.16,-6.84,-1.26,15.78
11.848,-14.10,-6.84,-1.26,15.72
11.884,-14.10,-6.84,-1.32,15.73
11.895,-14.04,-6.84,-1.38,15.68
11.915,-13.98,-6.90,-1.44,15.66
11.935,-13.92,-6.90,-1.44,15.60
11.955,-13.86,-6.96,-1.50,15.58
11.974,-13.80,-6.96,-1.56,15.53
11.993,-13.80,-7.02,-1.56,15.56
12.014,-13.80,-7.02,-1.62,15.57
12.034,-13.74,-7.02,-1.62,15.51
12.057,-13.74,-7.02,-1.62,15.51
12.085,-13.74,-7.02,-1.68,15.52
12.095,-13.68,-7.02,-1.74,15.47
12.115,-13.68,-7.02,-1.74,15.47
12.135,-13.68,-7.02,-1.80,15.48
12.156,-13.68,-7.02,-1.86,15.49
12.180,-13.68,-7.02,-1.92,15.50
12.200,-13.68,-7.02,-1.92,15.50
12.221,-13.68,-7.02,-1.98,15.50
12.241,-13.68,-7.02,-1.98,15.50
12.262,-13.68,-7.02,-1.92,15.50
12.290,-13.74,-7.02,-1.92,15.55
12.302,-13.74,-7.02,-1.86,15.54
12.323,-13.74,-7.08,-1.80,15.56
12.343,-13.74,-7.08,-1.74,15.55
12.375,-13.74,-7.14,-1.62,15.57
12.389,-13.74,-7.20,-1.50,15.58
12.404,-13.74,-7.26,-1.38,15.60
