time,Bx,By,Bz,BT
6.216,14.82,-1.14,0.00,14.86
6.233,14.76,-1.14,0.00,14.80
6.254,14.76,-1.14,0.00,14.80
6.274,14.76,-1.08,-0.06,14.80
6.296,14.76,-1.08,-0.06,14.80
6.320,14.70,-1.08,-0.12,14.74
6.336,14.70,-1.02,-0.24,14.74
6.357,14.70,-1.02,-0.36,14.74
6.377,14.70,-0.96,-0.48,14.74
6.400,14.70,-0.96,-0.54,14.74
6.417,14.70,-0.96,-0.66,14.75
6.438,14.70,-0.90,-0.72,14.75
6.458,14.70,-0.90,-0.84,14.75
6.495,14.70,-0.84,-0.90,14.75
6.501,14.70,-0.84,-0.90,14.75
6.521,14.70,-0.84,-0.84,14.75
6.542,14.70,-0.84,-0.78,14.74
6.563,14.70,-0.84,-0.72,14.74
6.582,14.70,-0.90,-0.72,14.75
6.611,14.70,-0.90,-0.66,14.74
6.622,14.70,-0.96,-0.60,14.74
6.644,14.70,-0.96,-0.54,14.74
6.664,14.70,-0.96,-0.42,14.74
6.686,14.70,-1.02,-0.36,14.74
6.715,14.70,-1.08,-0.30,14.74
6.725,14.70,-1.20,-0.24,14.75
6.746,14.64,-1.20,-0.24,14.69
6.766,14.64,-1.26,-0.18,14.70
6.786,14.64,-1.32,-0.06,14.70
6.811,14.58,-1.38,0.00,14.65
6.835,14.58,-1.44,0.12,14.65
6.851,14.52,-1.44,0.24,14.59
6.869,14.52,-1.50,0.36,14.60
6.889,14.52,-1.50,0.48,14.61
6.912,14.52,-1.56,0.60,14.62
6.945,14.52,-1.56,0.72,14.62
6.950,14.52,-1.56,0.78,14.62
6.970,14.58,-1.50,0.84,14.68
6.990,14.58,-1.50,0.90,14.68
7.009,14.58,-1.50,0.90,14.68
7.029,14.58,-1.50,0.90,14.68
7.051,14.58,-1.50,0.84,14.68
7.071,14.58,-1.50,0.84,14.68
7.102,14.52,-1.50,0.78,14.62
7.119,14.52,-1.50,0.78,14.62
7.148,14.58,-1.50,0.66,14.67
7.151,14.58,-1.50,0.60,14.67
7.172,14.64,-1.50,0.48,14.72
7.191,14.70,-1.50,0.42,14.78
7.216,14.70,-1.50,0.42,14.78
7.235,14.76,-1.50,0.36,14.84
7.255,14.82,-1.50,0.30,14.90
7.275,14.82,-1.50,0.24,14.90
7.296,14.82,-1.44,0.24,14.89
7.317,14.82,-1.44,0.18,14.89
7.338,14.82,-1.44,0.12,14.89
7.358,14.82,-1.38,0.06,14.88
7.390,14.82,-1.32,0.00,14.88
7.409,14.82,-1.26,-0.06,14.87
7.419,14.82,-1.20,-0.12,14.87
7.437,14.82,-1.14,-0.12,14.86
7.458,14.82,-1.08,-0.12,14.86
7.478,14.82,-1.02,-0.12,14.86
7.503,14.82,-0.96,-0.12,14.85
7.529,14.82,-0.90,-0.06,14.85
7.542,14.82,-0.84,-0.06,14.84
7.563,14.82,-0.84,-0.06,14.84
7.582,14.82,-0.84,-0.06,14.84
7.603,14.82,-0.84,-0.06,14.84
7.628,14.82,-0.84,-0.06,14.84
7.644,14.82,-0.90,-0.06,14.85
7.664,14.82,-0.90,-0.06,14.85
7.689,14.82,-0.96,-0.06,14.85
7.707,14.82,-0.96,-0.06,14.85
7.732,14.82,-1.02,-0.06,14.86
7.751,14.82,-1.02,-0.06,14.86
7.771,14.82,-1.08,-0.06,14.86
7.791,14.82,-1.08,-0.06,14.86
7.812,14.82,-1.14,-0.06,14.86
7.832,14.82,-1.14,-0.06,14.86
7.853,14.82,-1.14,-0.06,14.86
7.875,14.82,-1.14,-0.06,14.86
7.913,14.82,-1.14,-0.06,14.86
7.915,14.82,-1.14,-0.06,14.86
7.935,14.82,-1.14,-0.06,14.86
7.955,14.82,-1.14,-0.06,14.86
7.975,14.82,-1.14,-0.06,14.86
8.006,14.82,-1.14,-0.06,14.86
8.019,14.88,-1.14,-0.06,14.92
8.036,14.88,-1.14,-0.06,14.92
8.057,14.94,-1.14,-0.06,14.98
8.079,15.00,-1.14,-0.06,15.04
8.103,15.06,-1.14,-0.06,15.10
8.123,15.18,-1.14,-0.06,15.22
8.138,15.24,-1.08,0.00,15.28
8.159,15.36,-1.08,0.06,15.40
8.181,15.42,-1.08,0.06,15.46
8.200,15.54,-1.08,0.12,15.58
8.231,15.60,-1.08,0.18,15.64
8.241,15.66,-1.08,0.18,15.70
8.265,15.66,-1.14,0.24,15.70
8.291,15.66,-1.20,0.24,15.71
8.305,15.66,-1.26,0.24,15.71
8.328,15.66,-1.38,0.24,15.72
8.348,15.66,-1.44,0.30,15.73
8.367,15.66,-1.44,0.36,15.73
8.386,15.66,-1.50,0.42,15.74
8.406,15.66,-1.56,0.54,15.75
8.427,15.60,-1.56,0.66,15.69
8.452,15.54,-1.56,0.78,15.64
8.469,15.48,-1.56,0.84,15.58
8.488,15.42,-1.50,0.96,15.52
8.508,15.36,-1.56,1.02,15.47
8.528,15.30,-1.62,1.08,15.42
8.549,15.24,-1.62,1.14,15.37
8.569,15.24,-1.62,1.08,15.36
8.589,15.18,-1.68,1.08,15.31
8.609,15.18,-1.68,1.08,15.31
8.633,15.18,-1.68,1.08,15.31
8.654,15.18,-1.74,1.08,15.32
8.673,15.18,-1.68,1.08,15.31
8.693,15.18,-1.68,1.08,15.31
8.716,15.18,-1.62,1.08,15.30
8.738,15.18,-1.62,1.08,15.30
8.758,15.18,-1.56,1.14,15.30
8.779,15.18,-1.44,1.14,15.29
